0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:14 +0530] "GET /Epayment_MSBTE/login?action=studentLogin HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:14 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:19 +0530] "POST /Epayment_MSBTE/login?action=studlogin HTTP/1.1" 200 9848
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:19 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:28 +0530] "POST /Epayment_MSBTE/login?action=studlogin HTTP/1.1" 200 9848
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:28 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:53 +0530] "POST /Epayment_MSBTE/login?action=studlogin HTTP/1.1" 200 9848
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:53 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:55 +0530] "POST /Epayment_MSBTE/login?action=studlogin HTTP/1.1" 200 9848
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:55 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:57 +0530] "POST /Epayment_MSBTE/login?action=studlogin HTTP/1.1" 200 9848
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:57 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:59 +0530] "GET /Epayment_MSBTE/Home?action=Dashboard HTTP/1.1" 200 19406
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:34:59 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:01 +0530] "GET /Epayment_MSBTE/login?action=msbteLogin HTTP/1.1" 200 9803
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:01 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:02 +0530] "POST /Epayment_MSBTE/login?action=msbteLogin HTTP/1.1" 200 11001
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:02 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:25 +0530] "GET /Epayment_MSBTE/msbteOption.jsp HTTP/1.1" 200 11001
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:25 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:26 +0530] "GET /Epayment_MSBTE/MSBTE?action=MSBTEProfile&msbte_id=23 HTTP/1.1" 200 10220
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:26 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:26 +0530] "GET /Epayment_MSBTE/assets/images/background/bg2.jpg HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:32 +0530] "GET /Epayment_MSBTE/msbteOption.jsp HTTP/1.1" 200 11001
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:32 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:37 +0530] "GET /Epayment_MSBTE/Institute?action=itList HTTP/1.1" 200 15059
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:37 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:43 +0530] "GET /Epayment_MSBTE/login?action=msbteLogout HTTP/1.1" 200 9803
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:35:43 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
